Category	Category Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
Zoology	131	Asian Herpetological Research	ASIAN HERPETOL RES	2095-0357	207	0.721	0.574	0.743	0.038	26	5.0	11.0	0.000440	0.199	96.15	23.235	0.05328
Zoology	132	Herpetological Conservation and Biology	HERPETOL CONSERV BIO	2151-0733	645	0.719	0.661	1.053	0.100	70	5.7	12.5	0.001280	0.303	100.00	22.647	0.15318
Zoology	133	COMPARATIVE MEDICINE	COMPARATIVE MED	1532-0820	1,326	0.702	0.637	1.053	0.069	58	9.6	9.5	0.001220	0.306	96.55	29.646	0.14536
Zoology	134	ZOOLOGY IN THE MIDDLE EAST	ZOOL MIDDLE EAST	0939-7140	560	0.701	0.629	0.671	0.273	44	8.6	12.8	0.000680	0.210	100.00	21.471	0.08118
Zoology	135	NEW ZEALAND JOURNAL OF ZOOLOGY	NEW ZEAL J ZOOL	0301-4223	846	0.673	0.654	0.583	0.346	26	22.5	12.7	0.000350	0.192	88.46	20.882	0.04190
Zoology	136	INVERTEBRATE REPRODUCTION & DEVELOPMENT	INVERTEBR REPROD DEV	0792-4259	785	0.672	0.597	1.011	0.219	32	14.2	15.1	0.000610	0.264	100.00	11.009	0.07318
Zoology	137	ACTA ICHTHYOLOGICA ET PISCATORIA	ACTA ICHTHYOL PISCAT	0137-1592	482	0.667	0.556	0.873	0.036	55	7.0	12.1	0.000690	0.232	98.18	17.064	0.08288
Zoology	137	AFRICAN INVERTEBRATES	AFR INVERTEBR	1681-5556	203	0.667	0.571	0.512	0.400	10	8.8	20.8	0.000280	0.170	90.00	20.648	0.03383
Zoology	139	AQUATIC MAMMALS	AQUAT MAMM	0167-5427	1,136	0.636	0.488	0.917	0.317	63	12.4	11.5	0.000810	0.254	96.83	14.589	0.09644
Zoology	140	REVUE SUISSE DE ZOOLOGIE	REV SUISSE ZOOL	0035-418X	1,111	0.630	0.630	0.523	Not Available	0	27.7	Not Available	0.000350	0.206	Not Available	17.941	0.04266
Zoology	141	REDIA-GIORNALE DI ZOOLOGIA	REDIA	0370-4327	441	0.618	0.436	0.716	0.286	28	34.4	11.1	0.000280	0.185	96.43	17.353	0.03359
Zoology	142	AUSTRALIAN JOURNAL OF ZOOLOGY	AUST J ZOOL	0004-959X	1,817	0.611	0.578	0.823	0.650	20	23.8	10.9	0.000890	0.291	95.00	16.765	0.10592
Zoology	143	BELGIAN JOURNAL OF ZOOLOGY	BELG J ZOOL	0777-6276	420	0.607	0.607	0.891	0.091	11	13.2	11.1	0.000220	0.264	100.00	16.176	0.02654
Zoology	143	TURKISH JOURNAL OF ZOOLOGY	TURK J ZOOL	1300-0179	996	0.607	0.579	0.761	0.145	83	6.5	15.0	0.001790	0.224	100.00	16.176	0.21329
Zoology	145	BOLETIM DO INSTITUTO DE PESCA	BOL INST PESCA	0046-9939	537	0.599	0.408	0.586	0.050	60	7.8	10.6	0.000550	0.119	100.00	13.750	0.06561
Zoology	146	JOURNAL OF MEDICAL PRIMATOLOGY	J MED PRIMATOL	0047-2565	835	0.598	0.467	0.791	0.115	61	11.4	11.9	0.000680	0.222	93.44	22.631	0.08148
Zoology	147	FOLIA ZOOLOGICA	FOLIA ZOOL	0139-7893	770	0.594	0.536	0.749	0.000	26	11.7	14.1	0.000490	0.208	100.00	13.824	0.05851
Zoology	148	RUSSIAN JOURNAL OF NEMATOLOGY	RUSS J NEMATOL	0869-6918	218	0.577	0.346	0.794	0.143	14	11.2	14.2	0.000200	0.231	100.00	13.235	0.02465
Zoology	149	TROPICAL ZOOLOGY	TROP ZOOL	0394-6975	332	0.571	0.571	0.677	0.462	13	16.3	13.1	0.000180	0.223	100.00	12.647	0.02165
Zoology	150	Animal Cells and Systems	ANIM CELLS SYST	1976-8354	199	0.549	0.500	0.483	0.037	54	4.7	10.9	0.000380	0.110	100.00	7.195	0.04561
Zoology	151	COMPARATIVE PARASITOLOGY	COMP PARASITOL	1525-2647	418	0.520	0.387	0.592	0.172	29	8.4	17.7	0.000540	0.195	96.55	9.208	0.06467
Zoology	152	ANNALS OF CARNEGIE MUSEUM	ANN CARNEGIE MUS	0097-4463	429	0.458	0.375	0.759	0.143	7	27.0	40.2	0.000180	0.253	100.00	8.511	0.02140
Zoology	152	CALDASIA	CALDASIA	0366-5232	367	0.458	0.333	0.445	0.029	34	13.4	12.8	0.000180	0.104	100.00	9.498	0.02246
Zoology	154	GAYANA	GAYANA	0717-6538	269	0.455	0.364	0.573	0.111	18	11.1	14.3	0.000180	0.156	100.00	9.706	0.02174
Zoology	155	CURRENT HERPETOLOGY	CURR HERPETOL	1345-5834	139	0.450	0.350	Not Available	0.100	20	6.7	14.6	0.000210	Not Available	100.00	9.118	0.02546
Zoology	156	SPIXIANA	SPIXIANA	0341-8391	343	0.442	0.423	0.656	0.190	21	14.2	14.2	0.000380	0.234	100.00	8.529	0.04598
Zoology	157	AFRICAN JOURNAL OF HERPETOLOGY	AFR J HERPETOL	2156-4574	151	0.429	0.333	0.466	0.700	10	9.8	16.3	0.000110	0.148	100.00	7.941	0.01347
Zoology	158	MAMMAL STUDY	MAMM STUDY	1343-4152	274	0.426	0.393	0.456	0.067	30	8.6	14.4	0.000260	0.125	96.67	7.353	0.03142
Zoology	159	ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE	ACTA ZOOL ACAD SCI H	1217-8837	672	0.421	0.395	0.522	0.190	21	27.1	15.3	0.000250	0.169	95.24	6.765	0.02988
Zoology	160	IHERINGIA SERIE ZOOLOGIA	IHERINGIA SER ZOOL	0073-4721	688	0.420	0.389	0.601	0.143	28	10.0	12.8	0.000680	0.173	96.43	6.176	0.08193
Zoology	161	RUSSIAN JOURNAL OF THERIOLOGY	RUSS J THERIOL	1682-3559	114	0.375	0.375	Not Available	0.000	11	8.4	15.4	0.000160	Not Available	100.00	5.588	0.01996
Zoology	162	PHYLLOMEDUSA	PHYLLOMEDUSA	1519-1397	171	0.364	0.255	0.424	0.000	30	10.1	12.0	0.000160	0.127	100.00	5.000	0.01965
Zoology	163	RUSSIAN JOURNAL OF HERPETOLOGY	RUSS J HERPETOL	1026-2296	290	0.325	0.289	0.628	0.026	38	7.5	13.5	0.000480	0.186	100.00	4.412	0.05733
Zoology	164	JOURNAL OF CONCHOLOGY	J CONCHOL	0022-0019	222	0.311	0.311	0.368	0.063	16	14.7	28.2	0.000160	0.110	100.00	2.606	0.01966
Zoology	165	PACHYDERM	PACHYDERM	1026-2881	174	0.292	0.292	0.657	Not Available	0	8.4	Not Available	0.000330	0.365	Not Available	3.773	0.04008
Zoology	166	ZOOLOGICHESKY ZHURNAL	ZOOL ZH	0044-5134	1,500	0.291	0.189	0.259	0.119	126	26.8	19.0	0.000530	0.060	100.00	2.647	0.06394
Zoology	167	NEMATROPICA	NEMATROPICA	0099-5444	360	0.286	0.265	0.434	0.040	25	11.8	14.5	0.000210	0.122	100.00	2.059	0.02605
Zoology	168	ACTA BIOLOGICA COLOMBIANA	ACTA BIOL COLOMB	1900-1649	257	0.283	0.264	Not Available	0.156	32	5.6	11.2	0.000350	Not Available	100.00	2.819	0.04245
Zoology	169	ACTA ZOOLOGICA BULGARICA	ACTA ZOOL BULGAR	0324-0770	499	0.278	0.258	0.450	0.328	122	5.2	14.2	0.000870	0.122	100.00	0.882	0.10392
Zoology	170	CALIFORNIA FISH AND GAME	CALIF FISH GAME	0008-1078	382	0.182	0.152	0.374	0.000	13	33.0	16.2	0.000140	0.096	92.31	1.589	0.01727
Plant Sciences	1	Annual Review of Plant Biology	ANNU REV PLANT BIOL	1543-5008	19,024	18.918	18.653	25.776	3.724	29	12.3	7.0	0.016900	9.547	0.00	99.781	2.00749
Plant Sciences	2	TRENDS IN PLANT SCIENCE	TRENDS PLANT SCI	1360-1385	21,520	14.006	13.602	14.017	2.867	83	9.1	5.6	0.024080	4.341	0.00	99.342	2.86097
Plant Sciences	3	Nature Plants	NAT PLANTS	2055-026X	3,979	13.297	12.923	13.338	2.914	105	2.4	6.8	0.020100	5.535	91.43	98.904	2.38844
Plant Sciences	4	Molecular Plant	MOL PLANT	1674-2052	9,274	10.812	10.345	10.682	3.140	100	4.6	7.7	0.027150	3.670	79.00	96.632	3.22465
Plant Sciences	5	Annual Review of Phytopathology	ANNU REV PHYTOPATHOL	0066-4286	7,936	10.200	9.960	13.038	0.393	28	12.7	7.2	0.007380	4.298	0.00	98.026	0.87679
Plant Sciences	6	PLANT CELL	PLANT CELL	1040-4651	52,034	8.631	8.325	9.848	2.171	164	10.7	8.4	0.057800	3.643	97.56	92.560	6.86549
Plant Sciences	7	CURRENT OPINION IN PLANT BIOLOGY	CURR OPIN PLANT BIOL	1369-5266	13,733	7.508	7.207	7.889	1.623	122	8.6	5.1	0.021650	2.788	0.00	97.149	2.57255
Plant Sciences	8	NEW PHYTOLOGIST	NEW PHYTOL	0028-646X	52,069	7.299	6.797	8.344	2.967	459	7.9	8.1	0.082510	2.714	83.44	96.711	9.80005
Plant Sciences	9	PLANT BIOTECHNOLOGY JOURNAL	PLANT BIOTECHNOL J	1467-7644	7,866	6.840	6.533	6.792	2.583	175	4.4	7.7	0.016180	1.833	97.14	94.587	1.92182
Plant Sciences	10	PLANT PHYSIOLOGY	PLANT PHYSIOL	0032-0889	80,841	6.305	5.826	7.024	2.187	444	11.9	8.7	0.070510	2.182	98.65	95.833	8.37458
Plant Sciences	11	PLANT JOURNAL	PLANT J	0960-7412	43,424	5.726	5.467	6.467	1.487	337	10.4	8.4	0.045000	2.142	98.81	95.395	5.34516
Plant Sciences	12	JOURNAL OF ECOLOGY	J ECOL	0022-0477	19,532	5.687	5.323	6.817	1.870	193	10.3	9.9	0.023130	2.286	97.41	92.752	2.74828
Plant Sciences	13	PLANT CELL AND ENVIRONMENT	PLANT CELL ENVIRON	0140-7791	22,073	5.624	5.294	6.026	1.773	207	10.0	9.4	0.022770	1.687	94.20	94.518	2.70485
Plant Sciences	14	JOURNAL OF EXPERIMENTAL BOTANY	J EXP BOT	0022-0957	44,813	5.360	4.970	6.305	1.733	401	8.1	8.3	0.055260	1.741	73.57	94.079	6.56425
Plant Sciences	15	MOLECULAR PLANT PATHOLOGY	MOL PLANT PATHOL	1464-6722	6,115	4.379	3.987	4.697	1.843	197	6.6	9.1	0.008120	1.286	92.39	93.640	0.96462
Plant Sciences	16	JOURNAL OF NATURAL PRODUCTS	J NAT PROD	0163-3864	25,908	4.257	3.911	3.938	0.802	338	10.3	9.0	0.021150	0.827	97.93	89.001	2.51255
Plant Sciences	16	PHYTOCHEMISTRY REVIEWS	PHYTOCHEM REV	1568-7767	2,655	4.257	4.208	3.752	1.115	61	7.5	8.4	0.002790	0.808	62.30	93.202	0.33232
Plant Sciences	18	CRITICAL REVIEWS IN PLANT SCIENCES	CRIT REV PLANT SCI	0735-2689	3,517	4.189	3.973	7.082	0.600	15	12.2	11.2	0.002410	1.866	0.00	92.325	0.28688
Plant Sciences	19	PHYTOMEDICINE	PHYTOMEDICINE	0944-7113	9,672	4.180	4.011	3.928	0.701	291	7.5	7.6	0.008250	0.674	92.10	89.987	0.98089
Plant Sciences	20	Frontiers in Plant Science	FRONT PLANT SCI	1664-462X	34,295	4.106	3.663	4.855	0.536	1,902	2.9	8.5	0.101490	1.186	86.80	91.447	12.05403
Plant Sciences	21	Plant Genome	PLANT GENOME-US	1940-3372	1,425	4.042	3.833	3.658	0.500	48	4.3	8.3	0.003320	1.061	100.00	84.154	0.39443
Plant Sciences	22	Journal of Systematics and Evolution	J SYST EVOL	1674-4918	1,425	4.040	3.455	2.768	1.830	47	4.3	12.0	0.003060	0.803	87.23	90.570	0.36409
Plant Sciences	23	PLANT AND CELL PHYSIOLOGY	PLANT CELL PHYSIOL	0032-0781	16,107	3.929	3.727	4.599	1.279	219	9.6	8.4	0.018210	1.371	84.47	74.470	2.16368
Plant Sciences	24	PLANT MOLECULAR BIOLOGY	PLANT MOL BIOL	0167-4412	14,112	3.928	3.860	4.076	0.583	115	13.0	9.2	0.009620	1.069	98.26	79.997	1.14357
Plant Sciences	25	THEORETICAL AND APPLIED GENETICS	THEOR APPL GENET	0040-5752	20,017	3.926	3.356	3.996	0.869	199	12.8	8.8	0.013530	1.027	96.98	88.621	1.60731
Plant Sciences	26	Journal of Integrative Plant Biology	J INTEGR PLANT BIOL	1672-9072	4,282	3.824	3.642	4.061	1.337	83	7.1	8.2	0.006640	1.180	78.31	78.720	0.78882
Plant Sciences	27	TAXON	TAXON	0040-0262	5,305	3.823	3.554	3.251	0.889	81	10.2	16.6	0.005980	1.014	100.00	80.689	0.71095
Plant Sciences	28	PLANT SCIENCE	PLANT SCI	0168-9452	14,435	3.785	3.663	4.064	0.730	256	10.0	8.7	0.013100	1.007	84.77	77.778	1.55675
Plant Sciences	29	ENVIRONMENTAL AND EXPERIMENTAL BOTANY	ENVIRON EXP BOT	0098-8472	10,065	3.712	3.418	4.614	1.067	269	8.0	9.3	0.009540	0.961	95.91	80.250	1.13380
Plant Sciences	30	BMC PLANT BIOLOGY	BMC PLANT BIOL	1471-2229	11,485	3.670	3.514	4.311	0.289	374	5.5	8.6	0.021270	1.135	100.00	87.061	2.52711
Plant Sciences	31	MOLECULAR PLANT-MICROBE INTERACTIONS	MOL PLANT MICROBE IN	0894-0282	11,283	3.649	3.443	4.449	1.008	118	10.6	8.9	0.008960	1.255	92.37	75.089	1.06513
Plant Sciences	32	Horticulture Research	HORTIC RES-ENGLAND	2052-7276	713	3.640	3.387	4.443	0.811	74	3.1	8.1	0.001990	1.078	86.49	89.620	0.23687
Plant Sciences	33	PLANT DISEASE	PLANT DIS	0191-2917	15,625	3.583	2.774	3.770	0.963	272	11.6	10.3	0.011510	0.797	98.53	85.746	1.36805
Plant Sciences	34	APPLIED VEGETATION SCIENCE	APPL VEG SCI	1402-2001	2,148	3.568	3.232	3.022	0.557	61	6.7	10.8	0.003090	0.729	100.00	85.627	0.36701
Plant Sciences	35	PLANT CELL REPORTS	PLANT CELL REP	0721-7714	8,478	3.499	3.383	3.401	0.875	128	8.4	8.3	0.009350	0.840	82.03	84.868	1.11165
Plant Sciences	36	ANNALS OF BOTANY	ANN BOT-LONDON	0305-7364	21,138	3.454	3.206	4.506	1.159	207	11.2	10.4	0.018370	1.326	92.75	84.430	2.18266
Plant Sciences	37	JOURNAL OF ETHNOPHARMACOLOGY	J ETHNOPHARMACOL	0378-8741	35,034	3.414	3.131	3.671	1.018	514	8.2	8.4	0.025200	0.605	87.74	77.099	2.99332
Plant Sciences	38	PLANT PHYSIOLOGY AND BIOCHEMISTRY	PLANT PHYSIOL BIOCH	0981-9428	11,900	3.404	3.180	3.607	0.570	419	6.1	8.7	0.015390	0.746	96.42	83.553	1.82865
Plant Sciences	39	GM Crops & Food-Biotechnology in Agriculture and the Food Chain	GM CROPS FOOD	2164-5698	328	3.333	2.917	Not Available	0.417	12	4.0	8.4	0.000830	Not Available	91.67	76.279	0.09869
Plant Sciences	40	PHYTOPATHOLOGY	PHYTOPATHOLOGY	0031-949X	15,793	3.264	2.997	3.670	0.876	145	16.3	10.0	0.010060	0.979	91.72	82.675	1.19548
Plant Sciences	41	PLANT AND SOIL	PLANT SOIL	0032-079X	33,620	3.259	2.951	3.761	0.884	389	11.3	9.5	0.023640	0.879	96.66	81.677	2.80879
Plant Sciences	42	Crop Journal	CROP J	2095-5421	804	3.179	3.116	Not Available	0.836	67	3.0	8.3	0.002340	Not Available	77.61	83.315	0.27888
