Journal Data Filtered By: Selected Categories: ZM Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator:Custom,

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Article Influence Score,Average JIF Percentile,Total Articles,Citing Half-Life,Cited Half-Life,% of Articles in Citable items,Citable Items
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,0947-5745,1439-0469,"ZOOLOGY - SCIE","1,541",2.288,"Q1",1.01,10.31%,2.592,2.027,0.991,0.00141,0.29553,0.699,53.214,105,12.1,8.4,93.75%,112,
Annual Review of Animal Biosciences,2165-8102,N/A,"ZOOLOGY - SCIE","1,470",8.923,"Q1",n/a,3.57%,9.794,8.923,3.588,0.00328,0.68880,3.291,97.351,17,8.1,4.7,100.00%,17,
ACTA ZOOLOGICA,0001-7272,1463-6395,"ZOOLOGY - SCIE","1,468",1.261,"Q3",0.70,3.36%,1.498,1.029,0.713,0.00073,0.15475,0.353,35.619,78,15.6,11.9,97.50%,80,
Journal of Ichthyology,0032-9452,1555-6425,"ZOOLOGY - SCIE","1,411",0.603,"Q4",0.29,0.98%,n/a,0.354,0.194,0.00054,0.11351,n/a,10.000,98,18.3,14.1,100.00%,98,
Integrative Zoology,1749-4877,1749-4869,"ZOOLOGY - SCIE","1,371",2.654,"Q1",1.44,13.17%,2.525,2.477,0.480,0.00169,0.35550,0.681,86.571,95,11.7,6.3,96.94%,98,
INVERTEBRATE SYSTEMATICS,1445-5226,1447-2600,"ZOOLOGY - SCIE","1,366",2.583,"Q1",1.00,0.75%,2.569,2.365,0.868,0.00160,0.33723,0.793,61.643,37,12.2,7.5,97.37%,38,
ZOOLOGICAL RESEARCH,2095-8137,N/A,"ZOOLOGY - SCIE","1,298",4.560,"Q1",1.61,100.00%,n/a,3.920,3.023,0.00149,0.31269,n/a,97.429,36,8.0,4.6,83.72%,43,
TURKISH JOURNAL OF ZOOLOGY,1300-0179,1303-6114,"ZOOLOGY - SCIE","1,248",0.673,"Q4",0.40,0.47%,0.784,0.667,0.169,0.00116,0.24387,0.200,15.143,56,11.3,7.2,94.92%,59,
ZOOMORPHOLOGY,0720-213X,1432-234X,"ZOOLOGY - SCIE","1,208",1.326,"Q3",0.76,16.03%,1.668,1.291,0.400,0.00108,0.22759,0.486,39.714,44,15.9,11.8,97.78%,45,
ETHOLOGY ECOLOGY & EVOLUTION,0394-9370,1828-7131,"ZOOLOGY - SCIE","1,168",1.321,"Q3",0.58,0.69%,1.298,1.296,0.438,0.00065,0.13717,0.333,23.358,63,13.7,11.7,100.00%,63,
HYSTRIX-Italian Journal of Mammalogy,0394-1914,1825-5272,"ZOOLOGY - SCIE","1,148",2.017,"Q2",0.86,100.00%,2.646,1.933,0.250,0.00107,0.22480,0.647,69.429,24,11.2,7.2,100.00%,24,
JOURNAL OF MAMMALIAN EVOLUTION,1064-7554,1573-7055,"ZOOLOGY - SCIE","1,136",2.611,"Q1",1.19,9.27%,2.732,2.292,1.152,0.00125,0.26296,0.776,85.429,77,14.2,6.6,97.47%,79,
ICHTHYOLOGICAL RESEARCH,1341-8998,1616-3915,"ZOOLOGY - SCIE","1,125",1.105,"Q3",0.46,0.58%,1.203,0.874,0.628,0.00074,0.15656,0.295,27.848,73,16.3,10.2,93.59%,78,
REVUE SUISSE DE ZOOLOGIE,0035-418X,0035-418X,"ZOOLOGY - SCIE","1,123",0.642,"Q4",0.40,0.00%,0.716,0.415,0.107,0.00032,0.06805,0.235,12.857,28,45.5,32.1,100.00%,28,
CHELONIAN CONSERVATION AND BIOLOGY,1071-8443,1943-3956,"ZOOLOGY - SCIE","1,089",1.667,"Q2",0.70,2.00%,1.578,1.621,0.412,0.00072,0.15246,0.439,55.714,33,14.1,11.0,97.06%,34,
NEW ZEALAND JOURNAL OF ZOOLOGY,0301-4223,1175-8821,"ZOOLOGY - SCIE","1,088",1.115,"Q3",0.61,0.00%,1.047,0.865,0.355,0.00035,0.07410,0.266,35.143,27,13.9,21.6,87.10%,31,
LEARNING & BEHAVIOR,1543-4494,1543-4508,"ZOOLOGY - SCIE","1,074",1.986,"Q2",0.55,17.24%,1.994,1.855,0.617,0.00106,0.22291,0.611,38.532,44,12.8,9.0,93.62%,47,
CYBIUM,0399-0974,N/A,"ZOOLOGY - SCIE","1,057",0.705,"Q4",0.38,0.00%,0.782,0.591,0.367,0.00037,0.07825,0.176,16.857,29,11.1,15.2,96.67%,30,
INVERTEBRATE BIOLOGY,1077-8306,1744-7410,"ZOOLOGY - SCIE","991",1.250,"Q3",0.63,2.13%,1.485,1.172,0.533,0.00061,0.12904,0.363,34.175,30,17.4,12.0,100.00%,30,
HERPETOLOGICAL JOURNAL,0268-0130,0268-0130,"ZOOLOGY - SCIE","990",0.862,"Q4",0.46,0.00%,1.241,0.741,0.586,0.00062,0.13042,0.356,22.571,27,12.4,11.3,93.10%,29,
JOURNAL OF ETHOLOGY,0289-0771,1439-5444,"ZOOLOGY - SCIE","989",1.270,"Q3",0.64,22.73%,1.246,1.122,0.328,0.00065,0.13706,0.355,22.129,57,13.6,10.4,98.28%,58,
MALACOLOGIA,0076-2997,2168-9075,"ZOOLOGY - SCIE","951",0.625,"Q4",2.80,0.00%,2.889,0.625,0.071,0.00051,0.10852,0.932,11.714,14,15.2,21.2,100.00%,14,
ACTA CHIROPTEROLOGICA,1508-1109,1733-5329,"ZOOLOGY - SCIE","948",1.073,"Q3",0.69,0.00%,1.326,0.963,0.054,0.00067,0.14115,0.344,31.143,37,11.7,10.1,100.00%,37,
FOLIA ZOOLOGICA,0139-7893,1573-1189,"ZOOLOGY - SCIE","942",1.060,"Q3",0.47,0.00%,1.203,1.060,n/a,0.00048,0.10068,0.295,30.571,0,n/a,12.9,n/a%,0,
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,0952-4622,2165-0586,"ZOOLOGY - SCIE","940",2.217,"Q2",1.49,4.35%,2.298,1.900,0.795,0.00082,0.17242,0.661,73.429,76,13.6,11.6,97.44%,78,
