"Journal Data Filtered By:  Selected Categories: OCEANOGRAPHY Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"MARINE GEODESY","MAR GEOD","0149-0419","1521-060X","OCEANOGRAPHY - SCIE","1,364","1.579","Q3","0.43","3.57"%," 49/66 ","1.775","1.456","0.222"," 50/68 ","27.21","0.001","0.113","0.391","26.52","Q3","27","100"%,"11.3","9.5","27",
"TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES","TERR ATMOS OCEAN SCI","1017-0839","2311-7680","OCEANOGRAPHY - SCIE","1,364","0.963","Q4","0.38","93.2"%," 55/66 ","1.028","0.927","0.211"," 52/68 ","24.26","0.001","0.179","0.278","17.42","Q4","38","94.74"%,"11.3","13","36",
"Limnology and Oceanography Letters","LIMNOL OCEANOGR LETT","N/A","2378-2242","OCEANOGRAPHY - SCIE","1,339","8.507","Q1","2.52","96.15"%," 2/66 ","9.314","8.391","0.914"," 1/68 ","99.26","0.003","0.692","2.434","97.73","Q1","35","100"%,"3.1","8","35",
"MARINE TECHNOLOGY SOCIETY JOURNAL","MAR TECHNOL SOC J","0025-3324","1948-1209","OCEANOGRAPHY - SCIE","1,122","0.673","Q4","0.23","2.36"%," 62/66 ","0.9","0.612","0.035"," 61/68 ","11.03","0","0.094","0.178","6.82","Q4","114","96.49"%,"11.3","7.1","110",
"Journal of Oceanology and Limnology","J OCEANOL LIMNOL","2096-5508","2523-3521","OCEANOGRAPHY - SCIE","981","1.554","Q4","0.44","0"%," 50/66 ","1.448","1.468","0.408"," 48/68 ","30.15","0.002","0.327","0.261","25","Q4","174","100"%,"2.3","10.9","174",
"BRAZILIAN JOURNAL OF OCEANOGRAPHY","BRAZ J OCEANOGR","1679-8759","1982-436X","OCEANOGRAPHY - SCIE","875","1.933","Q3","0.35","100"%," 44/66 ","1.779","1.933","N/A"," 53/68 ","22.79","0","0.099","0.36","34.09","Q4","0","N/A","9.7","N/A","0",
"Ocean Science Journal","OCEAN SCI J","1738-5261","2005-7172","OCEANOGRAPHY - SCIE","792","1.042","Q4","0.32","2.86"%," 54/66 ","1.154","1.011","0.222"," 55/68 ","19.85","0.001","0.116","0.215","18.94","Q4","45","95.56"%,"6.9","13.5","43",
"REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA","REV BIOL MAR OCEANOG","0717-3326","0718-1957","OCEANOGRAPHY - SCIE","772","0.493","Q4","0.15","72.41"%," 65/66 ","0.719","0.463","0.1"," 67/68 ","2.21","0","0.072","0.139","2.27","Q4","20","90"%,"9.8","16","18",
"Journal of Operational Oceanography","J OPER OCEANOGR","1755-876X","1755-8778","OCEANOGRAPHY - SCIE","712","4.208","Q1","0.8","33.33"%," 9/66 ","3.594","4.063","1.708"," 32/68 ","53.68","0.001","0.161","0.748","87.12","Q2","24","100"%,"5.2","9.6","24",
"OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES","OCEANOL HYDROBIOL ST","1730-413X","1897-3191","OCEANOGRAPHY - SCIE","569","0.829","Q4","0.3","43.1"%," 60/66 ","0.91","0.776","0.125"," 56/68 ","18.38","0","0.067","0.157","9.85","Q4","40","92.5"%,"8.1","14","37",
"ACTA ADRIATICA","ACTA ADRIAT","0001-5113","1846-0453","OCEANOGRAPHY - SCIE","438","0.682","Q4","0.2","87.27"%," 61/66 ","0.947","0.682","0.273"," 64/68 ","6.62","0","0.051","0.191","8.33","Q4","11","100"%,"9.7","17.3","11",
"NAVAL ENGINEERS JOURNAL","NAV ENG J","0028-1425","1559-3584","OCEANOGRAPHY - SCIE","379","0.325","Q4","0.07","0"%," 66/66 ","0.303","0.169","0.184"," 68/68 ","0.74","0","0.014","0.036","0.76","Q4","38","100"%,"19.4","6.3","38",
"THALASSAS","THALASSAS","0212-5919","2366-1674","OCEANOGRAPHY - SCIE","363","0.951","Q4","0.29","1.41"%," 56/66 ","0.962","0.835","0.089"," 57/68 ","16.91","0","0.096","0.181","15.91","Q4","101","100"%,"3","14.3","101",
"Plankton & Benthos Research","PLANKTON BENTHOS RES","1880-8247","1882-627X","OCEANOGRAPHY - SCIE","322","0.667","Q4","0.24","97.14"%," 63/66 ","0.815","0.625","0.182"," 59/68 ","13.97","0","0.055","0.185","5.3","Q4","33","100"%,"8.2","16","33",
"Journal of Southern Hemisphere Earth Systems Science","J SO HEMISPH EARTH","N/A","2206-5865","OCEANOGRAPHY - SCIE","192","1.878","Q3","0.59","88.57"%," 45/66 ","1.958","1.571","0.286"," 41/68 ","40.44","0.001","0.114","0.59","32.58","Q3","21","100"%,"2.9","7.7","21",
"Ocean and Coastal Research","OCEAN COAST RES","N/A","2675-2824","OCEANOGRAPHY - SCIE","31","0.885","Q4","0.25","93.33"%," 58/66 ","0.885","0.885","0.235"," 58/68 ","15.44","0","0.008","0.157","12.88","Q4","34","91.18"%,"N/A","10.7","31",

Copyright (c) 2022 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
