Rank	Full Journal Title	JCR Abbreviated Title	ISSN	Total Cites	Journal Impact Factor	Impact Factor without Journal Self Cites	5-Year Impact Factor	Immediacy Index	Citable Items	Cited Half-Life	Citing Half-life	Eigenfactor Score	Article Influence Score	% Articles in Citable Items	Average Journal Impact Factor Percentile	Normalized Eigenfactor
111	NEW ZEALAND JOURNAL OF ECOLOGY	NEW ZEAL J ECOL	0110-6465	1,143	1.447	1.329	1.471	0.484	31	12.0	10.1	0.000970	0.389	87.10	32.622	0.11539
112	ECOLOGICAL MANAGEMENT & RESTORATION	ECOL MANAG RESTOR	1442-7001	701	1.436	1.327	Not Available	0.379	29	8.7	8.8	0.000780	Not Available	82.76	32.012	0.09295
113	FLORA	FLORA	0367-2530	2,950	1.423	1.250	1.544	0.776	143	8.6	12.7	0.002660	0.394	97.90	39.934	0.31597
114	AUSTRAL ECOLOGY	AUSTRAL ECOL	1442-9985	4,044	1.403	1.317	1.672	0.457	92	12.5	12.0	0.003130	0.498	98.91	30.793	0.37179
115	WILDLIFE BIOLOGY	WILDLIFE BIOL	0909-6396	1,428	1.341	1.250	1.731	0.132	38	10.2	11.9	0.001590	0.551	100.00	45.827	0.18937
116	Marine Biology Research	MAR BIOL RES	1745-1000	1,315	1.291	1.222	1.420	0.338	77	5.7	14.7	0.002540	0.413	98.70	34.925	0.30248
117	WILDLIFE RESEARCH	WILDLIFE RES	1035-3712	2,630	1.244	1.074	1.579	0.188	69	11.0	10.4	0.002090	0.457	94.20	43.452	0.24900
118	Bulletin of the Peabody Museum of Natural History	B PEABODY MUS NAT HI	0079-032X	226	1.240	1.080	1.306	0.125	8	6.8	22.4	0.000290	0.356	75.00	32.711	0.03461
119	ENVIRONMENTAL BIOLOGY OF FISHES	ENVIRON BIOL FISH	0378-1909	5,882	1.226	1.135	1.596	0.299	134	15.7	12.7	0.003910	0.472	99.25	32.159	0.46479
120	CHEMISTRY AND ECOLOGY	CHEM ECOL	0275-7540	1,138	1.214	1.061	1.252	0.403	62	7.8	8.8	0.000940	0.227	91.94	21.667	0.11278
121	JOURNAL OF TROPICAL ECOLOGY	J TROP ECOL	0266-4674	3,286	1.194	1.143	1.336	0.086	35	14.4	13.7	0.001440	0.390	100.00	26.524	0.17155
122	Polar Science	POLAR SCI	1873-9652	511	1.190	1.140	1.346	0.800	50	5.1	12.1	0.001020	0.413	90.00	23.289	0.12180
123	EUROPEAN JOURNAL OF WILDLIFE RESEARCH	EUR J WILDLIFE RES	1612-4642	1,769	1.184	1.105	1.503	0.289	76	6.6	11.2	0.002900	0.437	97.37	39.270	0.34502
124	AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE	AFR J RANGE FOR SCI	1022-0119	412	1.173	1.058	1.290	1.889	36	5.2	10.7	0.000530	0.329	86.11	19.448	0.06406
125	WEB ECOLOGY	WEB ECOL	2193-3081	122	1.154	1.115	Not Available	0.176	17	7.5	11.0	0.000150	Not Available	100.00	18.943	0.01820
126	POLAR RESEARCH	POLAR RES	0800-0395	1,607	1.152	1.076	1.797	0.209	43	11.1	10.9	0.001610	0.591	100.00	25.061	0.19197
127	BIOCHEMICAL SYSTEMATICS AND ECOLOGY	BIOCHEM SYST ECOL	0305-1978	4,179	1.127	1.092	1.121	0.243	103	10.3	11.0	0.003880	0.269	99.03	14.141	0.46152
128	POLISH POLAR RESEARCH	POL POLAR RES	0138-0338	792	1.118	1.000	2.076	0.227	22	9.2	10.6	0.000950	0.553	100.00	19.929	0.11360
129	Human-Wildlife Interactions	HUM-WILDL INTERACT	1934-4392	242	1.115	0.962	Not Available	1.031	32	4.8	10.8	0.000500	Not Available	93.75	25.909	0.06029
130	POLAR RECORD	POLAR REC	0032-2474	660	1.051	1.000	1.081	0.150	20	8.3	14.6	0.000910	0.294	95.00	16.618	0.10832
131	ACTA AMAZONICA	ACTA AMAZON	0044-5967	1,521	1.042	1.010	1.100	0.043	47	11.5	10.2	0.000960	0.281	100.00	32.408	0.11482
132	NATURAL AREAS JOURNAL	NAT AREA J	0885-8608	800	1.032	0.958	1.075	0.176	34	9.7	12.5	0.000950	0.303	100.00	25.953	0.11358
133	ANNALES ZOOLOGICI FENNICI	ANN ZOOL FENN	0003-455X	1,664	1.019	1.000	1.136	0.150	20	15.9	14.3	0.000810	0.382	100.00	31.221	0.09717
133	RANGELAND JOURNAL	RANGELAND J	1036-9872	925	1.019	0.796	1.642	1.038	53	5.8	9.2	0.001150	0.345	100.00	19.207	0.13763
135	COMPOST SCIENCE & UTILIZATION	COMPOST SCI UTIL	1065-657X	757	1.000	0.906	1.039	0.107	28	13.9	12.4	0.000270	0.159	100.00	18.280	0.03226
136	Journal of Fish and Wildlife Management	J FISH WILDL MANAG	1944-687X	348	0.981	0.858	0.987	0.196	56	4.1	12.1	0.000910	0.295	100.00	21.189	0.10909
137	JOURNAL OF FRESHWATER ECOLOGY	J FRESHWATER ECOL	0270-5060	986	0.930	0.895	1.018	0.081	37	11.9	12.7	0.000770	0.267	97.30	19.098	0.09213
138	AFRICAN JOURNAL OF ECOLOGY	AFR J ECOL	0141-6707	2,005	0.893	0.717	0.963	0.362	130	11.6	11.6	0.001350	0.268	98.46	16.159	0.16095
139	Israel Journal of Ecology & Evolution	ISR J ECOL EVOL	1565-9801	224	0.870	0.870	0.773	0.000	5	8.1	10.0	0.000310	0.242	100.00	11.274	0.03684
140	EVOLUTIONARY ECOLOGY RESEARCH	EVOL ECOL RES	1522-0613	1,707	0.843	0.820	0.841	0.172	29	13.2	13.5	0.000680	0.268	100.00	9.807	0.08193
141	JOURNAL OF NATURAL HISTORY	J NAT HIST	0022-2933	3,490	0.837	0.773	0.894	0.444	144	13.8	17.6	0.002920	0.307	98.61	21.876	0.34695
142	Ecological Restoration	ECOL RESTOR	1543-4060	398	0.800	0.700	Not Available	0.125	24	8.4	12.3	0.000440	Not Available	87.50	13.720	0.05271
143	REVISTA CHILENA DE HISTORIA NATURAL	REV CHIL HIST NAT	0716-078X	1,343	0.750	0.750	1.143	0.100	10	15.6	10.1	0.000430	0.311	100.00	14.745	0.05119
144	COMMUNITY ECOLOGY	COMMUNITY ECOL	1585-8553	556	0.746	0.661	1.114	0.091	33	8.9	13.0	0.000580	0.317	100.00	12.500	0.06973
145	African Journal of Wildlife Research	AFR J WILDL RES	2410-7220	53	0.731	0.731	0.879	0.125	16	Not Available	10.6	0.000180	0.244	100.00	19.033	0.02219
146	PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES	P LINN SOC N S W	0370-047X	602	0.727	0.364	0.514	0.000	6	72.8	20.3	0.000050	0.116	83.33	12.968	0.00638
147	APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH	APPL ECOL ENV RES	1589-1623	878	0.689	0.558	0.734	0.139	525	3.3	10.0	0.001050	0.117	99.05	7.035	0.12582
148	AMERICAN MIDLAND NATURALIST	AM MIDL NAT	0003-0031	3,545	0.657	0.619	0.869	0.213	47	26.9	13.6	0.001050	0.277	100.00	11.496	0.12559
149	TROPICAL ECOLOGY	TROP ECOL	0564-3295	706	0.647	0.607	0.972	0.097	31	8.6	12.5	0.000770	0.234	96.77	9.451	0.09217
150	ECOSCIENCE	ECOSCIENCE	1195-6860	1,824	0.625	0.542	1.098	0.276	29	13.8	10.8	0.000410	0.278	100.00	8.841	0.04893
