"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ZOOLOGY' Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
129,Veterinary Research Forum,VET RES FORUM,2008-8140,357,0.723,0.679,Not Available,0.054,56,4.5,11.9,0.000700,Not Available,100.00,24.412,0.08349
130,Acta Herpetologica,ACTA HERPETOL,1827-9635,250,0.722,0.611,0.840,0.160,25,6.4,10.7,0.000390,0.231,100.00,23.824,0.04742
131,Asian Herpetological Research,ASIAN HERPETOL RES,2095-0357,207,0.721,0.574,0.743,0.038,26,5.0,11.0,0.000440,0.199,96.15,23.235,0.05328
132,Herpetological Conservation and Biology,HERPETOL CONSERV BIO,2151-0733,645,0.719,0.661,1.053,0.100,70,5.7,12.5,0.001280,0.303,100.00,22.647,0.15318
133,COMPARATIVE MEDICINE,COMPARATIVE MED,1532-0820,"1,326",0.702,0.637,1.053,0.069,58,9.6,9.5,0.001220,0.306,96.55,29.646,0.14536
134,ZOOLOGY IN THE MIDDLE EAST,ZOOL MIDDLE EAST,0939-7140,560,0.701,0.629,0.671,0.273,44,8.6,12.8,0.000680,0.210,100.00,21.471,0.08118
135,NEW ZEALAND JOURNAL OF ZOOLOGY,NEW ZEAL J ZOOL,0301-4223,846,0.673,0.654,0.583,0.346,26,22.5,12.7,0.000350,0.192,88.46,20.882,0.04190
136,INVERTEBRATE REPRODUCTION & DEVELOPMENT,INVERTEBR REPROD DEV,0792-4259,785,0.672,0.597,1.011,0.219,32,14.2,15.1,0.000610,0.264,100.00,11.009,0.07318
137,ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,0137-1592,482,0.667,0.556,0.873,0.036,55,7.0,12.1,0.000690,0.232,98.18,17.064,0.08288
137,AFRICAN INVERTEBRATES,AFR INVERTEBR,1681-5556,203,0.667,0.571,0.512,0.400,10,8.8,20.8,0.000280,0.170,90.00,20.648,0.03383
139,AQUATIC MAMMALS,AQUAT MAMM,0167-5427,"1,136",0.636,0.488,0.917,0.317,63,12.4,11.5,0.000810,0.254,96.83,14.589,0.09644
